clock_id,name,year,species,data_type,generation,tissue,tissue_class,population,population_class,training_target,target_class,translage_trained_phenotype,predicts,platform,n_features,unit,scale_type,legal_operations,model_type,availability,ships_coefficients,profile_key,n_same_profile,peers_same_profile,n_same_tissue_class,n_same_target_class,feature_overlap_partner,feature_overlap_jaccard,feature_overlap_shared,feature_overlap_note,external_catalogues,external_catalogue_urls,training_cohort_note,verify_url,verify_url_kind,verify_url_status,coefficient_source_url,citation
systemsageageprediction,systemsageageprediction,2025,Homo sapiens,dna_methylation,other,whole blood,whole_blood,adults,adults,chronological age,chronological_age,,chronological age,450K; EPICv1,,years,age_years,acceleration; correlate; difference; mean; residual,elastic net regression,licensed,no,Homo sapiens|whole_blood|adults|chronological_age,15,abec; cabec; dnamemrage; eabec; epitoc2; hannum; lin; retroclock; senchronoage; vidalbralo; weidner; yingadaptage; yingcausage; yingdamage,101,62,,,,features not distributed for this clock,,,,https://doi.org/10.1038/s43587-025-00958-3,doi,200 ok,,"Sehgal, R., Markov, Y., et al. “Systems Age: a single blood methylation test to quantify aging heterogeneity across 11 physiological systems.” Nature Aging (2025)."
vidalbralo,vidalbralo,2016,Homo sapiens,dna_methylation,first,whole blood,whole_blood,adults,adults,chronological age,chronological_age,,chronological age,27K,8,years,age_years,acceleration; correlate; difference; mean; residual,linear regression,bundled,yes,Homo sapiens|whole_blood|adults|chronological_age,15,abec; cabec; dnamemrage; eabec; epitoc2; hannum; lin; retroclock; senchronoage; systemsageageprediction; weidner; yingadaptage; yingcausage; yingdamage,101,62,weidner,0.2222,2,,biolearn; methylcipher,https://github.com/bio-learn/biolearn; https://github.com/HigginsChenLab/methylCIPHER,,https://doi.org/10.3389/fgene.2016.00126,doi,200 ok,,"Vidal-Bralo, Laura, Yolanda Lopez-Golan, and Antonio Gonzalez. ""Simplified assay for epigenetic age estimation in whole blood of adults."" Frontiers in Genetics 7 (2016): 126."
weidner,weidner,2014,Homo sapiens,dna_methylation,first,whole blood,whole_blood,adults,adults,chronological age,chronological_age,,biological age,27K; bisulfite sequencing,3,years,age_years,acceleration; correlate; difference; mean; residual,linear regression,bundled,yes,Homo sapiens|whole_blood|adults|chronological_age,15,abec; cabec; dnamemrage; eabec; epitoc2; hannum; lin; retroclock; senchronoage; systemsageageprediction; vidalbralo; yingadaptage; yingcausage; yingdamage,101,62,vidalbralo,0.2222,2,,biolearn; methylcipher,https://github.com/bio-learn/biolearn; https://github.com/HigginsChenLab/methylCIPHER,,https://doi.org/10.1186/gb-2014-15-2-r24,doi,200 ok,https://doi.org/10.1186/gb-2014-15-2-r24,"Weidner, C. I., Lin, Q., Koch, C. M., et al. (2014). Aging of blood can be tracked by DNA methylation changes at just three CpG sites. Genome Biology, 15, R24."
wu,wu,2019,Homo sapiens,dna_methylation,first,whole blood,whole_blood,children,children,chronological age,chronological_age,,chronological age,27K; 450K,,years,age_years,acceleration; correlate; difference; mean; residual,screened elastic net regression,untraced,no,Homo sapiens|whole_blood|children|chronological_age,1,,101,62,,,,features not distributed for this clock,,,,https://doi.org/10.18632/aging.102399,doi,403 publisher blocks bots; DOI registered in Crossref,,"Wu, X., et al. “DNA methylation profile is a quantitative measure of biological aging in children.” Aging 11(22): 10031–10051 (2019)."
yingadaptage,yingadaptage,2024,Homo sapiens,dna_methylation,causal,whole blood,whole_blood,adults,adults,chronological age,chronological_age,,adaptive epigenetic age,450K,999,years,age_years_relative,correlate; difference; mean; residual,causality-weighted elastic net regression,bundled,yes,Homo sapiens|whole_blood|adults|chronological_age,15,abec; cabec; dnamemrage; eabec; epitoc2; hannum; lin; retroclock; senchronoage; systemsageageprediction; vidalbralo; weidner; yingcausage; yingdamage,101,62,yingcausage,0.0724,107,,biolearn,https://github.com/bio-learn/biolearn,,https://doi.org/10.1038/s43587-023-00557-0,doi,200 ok,,"Ying, K., Liu, H., Tarkhov, A.E. et al. Causality-enriched epigenetic age uncouples damage and adaptation. Nature Aging 4, 231–246 (2024)."
yingcausage,yingcausage,2024,Homo sapiens,dna_methylation,causal,whole blood,whole_blood,adults,adults,chronological age,chronological_age,,chronological age,450K,585,years,age_years,acceleration; correlate; difference; mean; residual,causality-weighted elastic net regression,bundled,yes,Homo sapiens|whole_blood|adults|chronological_age,15,abec; cabec; dnamemrage; eabec; epitoc2; hannum; lin; retroclock; senchronoage; systemsageageprediction; vidalbralo; weidner; yingadaptage; yingdamage,101,62,yingdamage,0.1175,176,,biolearn,https://github.com/bio-learn/biolearn,,https://doi.org/10.1038/s43587-023-00557-0,doi,200 ok,,"Ying, K., Liu, H., Tarkhov, A.E. et al. Causality-enriched epigenetic age uncouples damage and adaptation. Nature Aging 4, 231–246 (2024)."
yingdamage,yingdamage,2024,Homo sapiens,dna_methylation,causal,whole blood,whole_blood,adults,adults,chronological age,chronological_age,,damaging epigenetic age,450K,1089,years,age_years_relative,correlate; difference; mean; residual,causality-weighted elastic net regression,bundled,yes,Homo sapiens|whole_blood|adults|chronological_age,15,abec; cabec; dnamemrage; eabec; epitoc2; hannum; lin; retroclock; senchronoage; systemsageageprediction; vidalbralo; weidner; yingadaptage; yingcausage,101,62,yingcausage,0.1175,176,,biolearn,https://github.com/bio-learn/biolearn,,https://doi.org/10.1038/s43587-023-00557-0,doi,200 ok,,"Ying, K., Liu, H., Tarkhov, A.E. et al. Causality-enriched epigenetic age uncouples damage and adaptation. Nature Aging 4, 231–246 (2024)."
zhangblup,zhangblup,2019,Homo sapiens,dna_methylation,first,whole blood; saliva,whole_blood,all ages,all_ages,chronological age,chronological_age,,chronological age,450K; EPICv1,319607,years,age_years,acceleration; correlate; difference; mean; residual,best linear unbiased prediction,bundled,yes,Homo sapiens|whole_blood|all_ages|chronological_age,6,han; retroelementagev1; retroelementagev2; skinandblood; zhangen,101,62,yingdamage,0.0027,866,,methylcipher,https://github.com/HigginsChenLab/methylCIPHER,,https://doi.org/10.1186/s13073-019-0667-1,doi,200 ok,,"Zhang, Q., Vallerga, C.L., Walker, R.M. et al. Improved precision of epigenetic clock estimates across tissues and its implication for biological ageing. Genome Medicine 11, 54 (2019)."
zhangen,zhangen,2019,Homo sapiens,dna_methylation,first,whole blood; saliva,whole_blood,all ages,all_ages,chronological age,chronological_age,,chronological age,450K; EPICv1,514,years,age_years,acceleration; correlate; difference; mean; residual,elastic net regression,bundled,yes,Homo sapiens|whole_blood|all_ages|chronological_age,6,han; retroelementagev1; retroelementagev2; skinandblood; zhangblup,101,62,skinandblood,0.0787,66,,methylcipher,https://github.com/HigginsChenLab/methylCIPHER,,https://doi.org/10.1186/s13073-019-0667-1,doi,200 ok,,"Zhang, Q., Vallerga, C.L., Walker, R.M. et al. Improved precision of epigenetic clock estimates across tissues and its implication for biological ageing. Genome Medicine 11, 54 (2019)."
pcdnamtl,pcdnamtl,2022,Homo sapiens,dna_methylation,other,whole blood,whole_blood,adults,adults,DNAmTL output,clock_output,,leukocyte telomere length,450K,,base pairs,telomere_kb,acceleration; correlate; difference; mean,PCA + elastic net regression,untraced,no,Homo sapiens|whole_blood|adults|clock_output,3,pcgrimage; pchannum,101,5,,,,features not distributed for this clock,,,,https://doi.org/10.1038/s43587-022-00248-2,doi,200 ok,,"Higgins-Chen, Albert T., et al. ""A computational solution for bolstering reliability of epigenetic clocks: implications for clinical trials and longitudinal tracking."" Nature Aging 2 (2022): 644–661."
